time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2021-06-09T01:00:00Z,1.2175,1.21856,1.21739,1.21796,1.2175,1.21856,1.21739,1.21796,58.75438823529338,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-09T05:00:00Z,1.21796,1.21928,1.21756,1.21884,1.21796,1.21928,1.21756,1.21884,71.86013851293683,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-09T09:00:00Z,1.21884,1.21978,1.2184,1.21946,1.21884,1.21978,1.2184,1.21946,78.01291152363154,NaN,NaN,NaN,NaN,78.01291152363154,NaN
2021-06-09T13:00:00Z,1.21946,1.22181,1.21741,1.2176,1.21946,1.22181,1.21741,1.2176,42.8657333171772,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-09T17:00:00Z,1.2176,1.21838,1.21744,1.21795,1.2176,1.21838,1.21744,1.21795,48.34019992537255,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-09T21:00:00Z,1.21795,1.21809,1.21721,1.21731,1.21795,1.21809,1.21721,1.21731,39.65524229733162,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-10T01:00:00Z,1.21731,1.21758,1.21628,1.21642,1.21731,1.21758,1.21628,1.21642,30.21800134556861,NaN,NaN,30.21800134556861,NaN,NaN,NaN
2021-06-10T05:00:00Z,1.21642,1.2174,1.21534,1.21666,1.21642,1.2174,1.21534,1.21666,35.40012046803675,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-10T09:00:00Z,1.21666,1.21949,1.21513,1.21862,1.21666,1.21949,1.21513,1.21862,63.255576340152885,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-10T13:00:00Z,1.21862,1.21934,1.21433,1.21768,1.21862,1.21934,1.21433,1.21768,50.26267939797829,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-10T17:00:00Z,1.21768,1.21788,1.21699,1.2176,1.21768,1.21788,1.21699,1.2176,49.18785574837361,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-10T21:00:00Z,1.2176,1.2179,1.21691,1.21783,1.2176,1.2179,1.21691,1.21783,52.81405835583759,NaN,NaN,NaN,NaN,NaN,NaN
